Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
2;GUANABARA - URB;64;20.415;9.941;38.032;7.786;178;16.598;8.337;6.619;42.361;1.381;2.898
2;GUANABARA - URB;67;5.568;3.000;12.447;1.648;74;4.217;2.142;2.153;16.032;235;1.088
2;GUANABARA - URB;70;11.484;6.815;28.214;4.055;59;8.729;5.448;4.649;32.042;997;2.518
2;GUANABARA - URB;72;11.366;6.718;28.085;7.090;122;6.249;3.002;5.430;30.652;670;1.954
2;GUANABARA - URB;75;10.215;4.643;16.569;3.106;84;5.380;2.218;4.130;18.375;434;1.696
2;GUANABARA - URB;76;2.861;1.646;6.178;1.328;31;3.161;855;1.223;7.251;0;547
2;GUANABARA - URB;77;17.068;12.236;46.957;11.297;56;8.338;4.715;7.476;43.021;1.577;3.171
2;GUANABARA - URB;79;21.626;12.383;41.519;10.044;245;9.723;3.828;7.076;36.923;1.575;2.642
2;GUANABARA - URB;81;6.183;3.041;10.567;2.242;14;3.328;1.290;2.806;13.512;182;1.285
2;GUANABARA - URB;84;18.014;8.375;36.645;12.628;174;12.949;5.212;9.541;36.610;2.298;3.193
2;GUANABARA - URB;101;5.159;3.026;12.178;2.849;36;7.007;2.654;2.526;16.554;921;1.302
2;GUANABARA - URB;102;1.879;997;4.287;957;12;2.368;840;865;5.520;0;411
2;GUANABARA - URB;592;1.154;402;1.746;443;50;866;286;383;1.325;64;759
2;GUANABARA - URB;593;3.289;1.087;2.263;638;0;1.190;348;539;2.932;86;946
2;GUANABARA - URB;1029;6.332;3.616;13.454;3.534;32;3.539;1.515;2.443;11.644;568;897
2;GUANABARA - URB;1214;4.138;2.479;10.500;1.622;9;4.252;2.537;2.060;10.831;0;1.353
2;GUANABARA - URB;1301;5.194;2.201;7.073;1.812;65;3.223;1.363;1.849;9.511;0;1.472
2;GUANABARA - URB;1302;155;74;272;82;3;117;62;69;358;0;65
2;GUANABARA - URB;1516;10.175;5.950;20.854;4.143;137;7.923;4.185;4.508;25.836;491;1.803
2;GUANABARA - URB;1778;8.846;5.551;19.775;4.494;109;7.822;4.243;4.070;21.857;410;1.809
2;GUANABARA - URB;2369;728;434;1.900;671;0;942;410;369;1.608;0;341
2;GUANABARA - URB;6162;5.814;2.780;8.967;1.553;30;3.672;2.127;1.930;9.878;100;1.341
2;GUANABARA - URB;6443;6.654;3.728;14.284;2.795;7;4.374;1.972;3.241;14.100;381;930
2;GUANABARA - URB;7501;396;158;1.168;126;0;320;67;415;666;211;69
2;GUANABARA - URB;7502;1.285;598;1.785;382;0;680;299;462;2.203;0;157
2;GUANABARA - URB;7601;155;95;388;99;0;252;96;56;494;570;52
2;REUNIDAS;7;17.492;8.674;43.755;11.098;202;9.012;2.982;7.737;37.100;1.577;3.198
2;REUNIDAS;26;21.709;14.753;47.929;14.276;188;7.388;3.912;8.087;40.836;2.221;3.004
2;REUNIDAS;27;11.612;5.779;23.477;4.726;93;9.796;4.230;5.270;29.402;1.354;2.658
2;REUNIDAS;35;16.535;8.394;30.894;9.970;726;11.893;5.572;8.531;27.606;1.120;2.399
2;REUNIDAS;68;10.116;4.480;23.473;4.899;125;7.720;2.698;5.804;23.054;859;2.069
2;REUNIDAS;73;38.074;29.374;100.188;30.263;399;15.805;8.224;13.709;78.617;4.479;4.599
2;REUNIDAS;85;12.491;5.013;16.913;4.975;552;8.488;3.712;4.963;17.429;0;1.901
2;REUNIDAS;1029;19.358;10.706;39.048;11.310;122;9.427;3.878;6.930;32.294;1.604;2.376
2;REUNIDAS;1778;2.567;1.483;6.098;1.318;21;1.939;1.098;1.097;6.458;381;606
